id|en|fixed_uk
1510| 9 a candidate for the president of ukraine may at any time before the completion of the election process or losing the status of a candidate for the president of ukraine make a decision to recall hisher proxy and submit to the central election commission another candidature instead|9 кандидат на пост президента україни у будьякий час до завершення виборчого процесу або втрати ним статусу кандидата на пост президента україни може відкликати довірену особу та внести до центральної виборчої комісії іншу кандидатуру замість вибулої
1379| documents for registration of a candidate for the president of ukraine may be submitted to the central election commission by means of electronic services in the manner prescribed by the central election commission in this case the requirements of part 1 of article 100 of this code regarding the personal submission of a statement on selfnomination to the central election commission shall not apply|документи для реєстрації кандидата на пост президента україни можуть подаватися до центральної виборчої комісії за допомогою електронних сервісів в порядку встановленому центральною виборчою комісію в такому разі вимоги частини першої статті 100 цього кодексу щодо особистої подачі до центральної виборчої комісії заяви про самовисування не застосовуються
4023| part 2 of article 230 has been appended with clause 11 under law no 805ix of 16 july 2020|частину другу статті 230 доповнено пунктом 11 згідно із законом  805ix від 16072020
1398| 5 receiving information from the authorised body confirming the fact that the person nominated the candidate has permanently left ukraine|5 отримання від уповноваженого органу інформації що підтверджує факт виїзду особи висунутої кандидатом за межі україни для постійного проживання
841| 4 the essence of the issue raised|4 суть порушеного питання
1491| the powers of the proxies of the candidate for the president of ukraine in the nationwide constituency shall also extend to the foreign constituency  |повноваження довірених осіб кандидата на пост президента україни у загальнодержавному виборчому окрузі поширюються також на закордонний виборчий округ
3028| if the constituency election commission detects shortcomings a clerical error or mistake in figures after signing the mentioned statement but before it is transported to the central election commission it shall consider at its meeting making amendments thereto by way of drawing up a new statement marked as corrected the statement marked as corrected shall be drawn up and signed in the manner and in the number of copies as prescribed by this article|якщо після підписання зазначеного протоколу до транспортування його до центральної виборчої комісії окружна виборча комісія виявила в ньому неточності описку чи помилку у цифрах вона на своєму засіданні розглядає питання про внесення змін до протоколу шляхом складення нового протоколу на якому робиться позначка уточнений протокол з позначкою уточнений виготовляється і підписується у порядку та в кількості примірників встановлених цією статтею
3117| 3 the number of unused votes cast by voters in the election region in support of a regional electoral list of each party referred to in part 3 of article 182 of this code|3 кількість невикористаних голосів виборців поданих у кожному виборчому регіоні на підтримку виборчого списку кожної партії зазначеної у частині третій статті 182 цього кодексу
2310| 3 the banks where the election funds account are opened provide the administrators of the respective accounts weekly or upon request with information about the amounts and sources of contributions received to the election funds accounts the movement of funds and also their account balances in the manner provided for by part 14 of article 150 of this code|3 банки в яких відкрито рахунки виборчих фондів надають розпорядникам відповідних рахунків щотижнево або за зверненням відомості про розміри та джерела внесків що надійшли на рахунки виборчих фондів рух коштів а також їх залишки на рахунках у порядку встановленому відповідно до частини чотирнадцятої статті 150 цього кодексу
4202| 6 candidates proxies shall be registered by the respective election commission upon the candidate request and submission of the statements on consent of all such persons in writing|6 довірені особи кандидата реєструються відповідною територіальною виборчою комісією за поданням кандидата
1403| 3 the decision to deny registration to a candidate for the president of ukraine must contain exhaustive reasons for the denial a copy of such a decision shall be issued to the authorised representative of the respective party candidate or the candidate not later than the next day after its adoption|3 рішення про відмову в реєстрації кандидата на пост президента україни повинно містити вичерпні підстави відмови копія такого рішення не пізніше наступного дня після його прийняття видається уповноваженому представнику відповідної партії кандидата або кандидату
1925| 1 the reasons and procedure for calling and the terms for conducting repeat elections of the president of ukraine are specified in part 4 of article 76 article 77 and parts 6to8 of article 78 of this code|1 підстави порядок призначення та строки проведення повторних виборів президента україни визначаються відповідно частиною четвертою статті 76 статтею 77 та частинами шостою  восьмою статті 78 цього кодексу
1478| part 4 of article 110 as amended by law no 805ix of 16 july 2020|частина четверта статті 110 із змінами внесеними згідно із законом  805ix від 16072020
1300| part 4 of article 96 as revised by law no 805ix of 16 july 2020|частина четверта статті 96 в редакції закону  805ix від 16072020
1152| part 1 of article 87 has been appended with clause 181 under law no 805ix of 16 july 2020|частину першу статті 87 доповнено пунктом 181 згідно із законом  805ix від 16072020
24| special local elections shall be held in case of early termination of powers of individual local authorities andor village town city mayors|позачергові місцеві вибори проводяться у разі дострокового припинення повноважень окремих органів місцевого самоврядування таабо сільських селищних міських голів
3064| paragraph 5 part 1 article 182 as amended by law no 805ix of 16 july 2020|абзац пятий частини першої статті 182 із змінами внесеними згідно із законом  805ix від 16072020
3887| 7 statements of individuals included into an electoral list of a republican party organisation in the autonomous republic of crimea should also contain the undertaking to terminate hisher activity which is incompatible with the mandate of a member of the verkhovna rada of crimea in the event of being elected in the absence of such activity its absence shall be indicated and the undertaking to transfer in the manner prescribed by law enterprises and corporate rights owned by himher to another persons management in the absence of such enterprises or corporate rights their absence shall be indicated in the event of being elected within a month from the day of the official publication of the election results|7 заяви осіб включених до виборчих списків республіканської в автономній республіці крим організації партії повинні також містити зобовязання в разі обрання припинити діяльність несумісну з мандатом депутата верховної ради автономної республіки крим у разі відсутності такої діяльності  зазначити про її відсутність та зобовязання в разі обрання протягом місяця після офіційного оприлюднення результатів виборів передати у порядку встановленому законом в управління іншій особі належні підприємства та корпоративні права у разі відсутності таких підприємств чи корпоративних прав  зазначити про їх відсутність
3449| 1 call the first elections of councillors village town city mayors according to the procedure established by the law|1 призначає перші вибори депутатів сільських селищних міських голів у порядку визначеному законом
507| 15 members of the precinct election commission of a special election precinct who have the right to vote in the respective election shall be included in the voter list for that election precinct on the basis of the decision of the respective election commission to establish the precinct election commission of that special election precinct|15 члени дільничної виборчої комісії спеціальної виборчої дільниці які мають право голосу на відповідних виборах включаються до списку виборців на цій виборчій дільниці на підставі рішення відповідної виборчої комісії щодо утворення дільничної виборчої комісії цієї спеціальної виборчої дільниці
4734| 3 information on the number of votes cast for each candidate for councillor in a multimember constituency and for each candidate for village town city mayor shall be entered in figures and words in the statement of the territorial election commission on the voting results in the respective multimember constituency or joint singlemember constituency for the respective local elections in addition to the information specified in part 2 of this article|3 до протоколу територіальної виборчої комісії про підсумки голосування у відповідному багатомандатному виборчому окрузі єдиному одномандатному виборчому окрузі з відповідних місцевих виборів крім відомостей зазначених у частині другій цієї статті цифрами і прописом заносяться відомості про кількість голосів виборців поданих за кожного кандидата у депутати в багатомандатному виборчому окрузі за кожного кандидата на посаду сільського селищного міського голови
2937| 4 the statement on the vote count at the election precinct shall specify the date and time hour and minutes of its signing by the members of the precinct election commission each copy of the statement shall be signed by the chairperson the deputy chairperson the secretary and other members of the precinct election commission present at the commission meeting in case of disagreement with the results of the counting of votes recorded in the commissions statement the member of the commission shall sign the statement with a mark with a dissenting opinion a written dissenting opinion shall be attached to the statement of the precinct election commission on the vote count at the election precinct failure or refusal to sign the statement by individual election commission members shall not have any legal impact on the validity of the statement in case there is no signature of the member of the precinct election commission in the statement on the vote count at the election precinct a reason for the absence of signature shall be indicated opposite hisher last name this statement shall be signed by the members of the precinct election commission and affixed with the seal of the precinct election commission only after having been fully completed|4 у протоколі про підрахунок голосів виборців на виборчій дільниці зазначаються дата і час година і хвилини його підписання членами дільничної виборчої комісії кожен примірник протоколу підписується головою заступником голови секретарем та іншими членами дільничної виборчої комісії присутніми на засіданні виборчої комісії у разі незгоди із результатами підрахунку голосів зафіксованими у протоколі комісії член комісії підписує протокол із позначкою з окремою думкою письмовий виклад окремої думки додається до протоколу дільничної виборчої комісії про підрахунок голосів виборців на виборчій дільниці непідписання або відмова від підписання протоколу окремих членів виборчої комісії не має правових наслідків для дійсності протоколу у разі відсутності підпису члена дільничної виборчої комісії у протоколі про підрахунок голосів виборців на виборчій дільниці напроти його прізвища зазначається причина відсутності підпису цей протокол підписується членами дільничної виборчої комісії та засвідчується печаткою дільничної виборчої комісії лише після його остаточного заповнення
1073| 6 education|6 освіта
2301| the mechanism for providing this information is established by the procedure required to be established by part 14 of this article|механізм надання зазначених відомостей передбачається порядком встановлення якого передбачено частиною чотирнадцятою цієї статті
218| 2 territorial constituencies|2 територіальні виборчі округи
875| 4 a complaint concerning the respective election but received by the election commission outside the election process of such election shall be considered by the election commission within thirty days from the date of its receipt|4 скарга що стосується відповідних виборів однак надійшла до виборчої комісії поза межами виборчого процесу таких виборів розглядається виборчою комісією протягом тридцяти днів з дня отримання скарги
3161| 4 position occupation place of work|4 посада заняття місце роботи
362| paragraph 4 part 6 article 36 as amended by law no 805ix of 16 july 2020|абзац четвертий частини восьмої статті 36 із змінами внесеними згідно із законом  805ix від 16072020
2598| article 166 has been appended with part 4 under law no 805ix of 16 july 2020|статтю 166 доповнено частиною четвертою згідно із законом  805ix від 16072020
4144| paragraph 3 part 6 article 236 as revised by law no 805ix of 16 july 2020|абзац третій частини шостої статті 236 в редакції закону  805ix від 16072020
1182| 3 the powers of a member of the constituency or precinct election commission shall be terminated early by the election commission that established such commission due to|3 повноваження члена окружної дільничної виборчої комісії припиняються достроково виборчою комісією яка її утворила у звязку із
1876| part 2 of article 128 as amended by law no 805ix of 16 july 2020|частина друга статті 128 із змінами внесеними згідно із законом  805ix від 16072020
9| 1 elections of the president of ukraine|1 вибори президента україни
3773| 5 the central executive authority which implements the state policy in the area of registration legalisation of the citizen associations shall in a term not later than thirtyfive days prior to the voting day transfer in  paper copy and in electronic format to the respective territorial election commissions the data on the registered parties and their organisations indicating the leaders and in case of a change of the partyparty organisation leader without delay inform on it the respective territorial election commissions|5 центральний орган виконавчої влади що реалізує державну політику у сфері реєстрації легалізації обєднань громадян не пізніш як за тридцять пять днів до дня голосування передає на паперових носіях та в електронному вигляді до відповідних територіальних виборчих комісій відомості щодо зареєстрованих партій та їх організацій із зазначенням керівників а в разі зміни керівників партій та організацій партій  невідкладно інформує про це відповідні територіальні виборчі комісії
795| part 3 of article 64 as revised by law no 805ix of 16 july 2020|частина третя статті 64 в редакції закону  805ix від 16072020
1886| 8 the constituency election commission shall not later than five days before the repeat voting day upon the nominations of the candidates for the president of ukraine included in the voting ballot for repeat voting establish new precinct election commissions consisting of|8 окружна виборча комісія не пізніш як за пять днів до дня повторного голосування за поданням кандидатів на пост президента україни включених до виборчого бюлетеня для повторного голосування формує новий склад дільничної виборчої комісії у кількості
2865| 27 the election commission shall count the total number of voting ballots excluding ballots that are not to be counted during the voting ballot count the commission member selected by the election commission shall be counting the voting ballots aloud all items other than voting ballots of the established form must be gathered separately and are not to be counted in case of doubt as to whether an item is a voting ballot the precinct election commission shall vote on it each election commission member may personally examine the item while examining items the counting of voting ballots shall be stopped any items other than voting ballots shall be packed in a separate package control sheets shall be also deemed as such items the package shall be marked with the inscription items and with an indication of the number of the territorial constituency or an indication that it comes from the foreign constituency the number of the election precinct the date and the time of packaging and it shall be signed by the members of the precinct election commission present and certified with the seal of the commission the total number of voters that participated in the voting shall be the number determined as the result of the count this number shall be announced and entered into the statement on the vote count at the election precinct by the secretary of the commission|27 виборча комісія підраховує загальну кількість виборчих бюлетенів за винятком бюлетенів які не підлягають врахуванню при підрахунку виборчих бюлетенів визначений виборчою комісією член комісії рахує виборчі бюлетені вголос усі предмети що не є виборчими бюлетенями встановленої форми складаються окремо і не підраховуються у разі виникнення сумнівів чи є предмет виборчим бюлетенем дільнична виборча комісія вирішує це питання шляхом голосування при цьому кожен член виборчої комісії має право особисто оглянути предмет на час огляду підрахунок виборчих бюлетенів припиняється предмети що не є виборчими бюлетенями запаковуються в окремий пакет до предметів відносять і контрольні листи на пакеті робиться напис предмети зазначаються номер територіального округу або позначення що він є закордонним номер виборчої дільниці і дата час пакування ставляться підписи присутніх членів дільничної виборчої комісії та печатка комісії встановлена в результаті підрахунку кількість є кількістю виборців які взяли участь у голосуванні ця кількість оголошується і заноситься секретарем комісії до протоколу про підрахунок голосів виборців на виборчій дільниці
491| 3 the election address without indicating the postcode of the country of residence or stay|3 виборчу адресу без зазначення поштового індексу країни проживання чи перебування
2417| 9 one photo of a candidate for mp measuring 4 x 6 centimetres in a paper copy and in electronic form|9 по одній фотографії кандидата у депутати розміром 4 х 6 сантиметрів на паперових носіях та в електронному вигляді
3246| 8 the central election commission by adopting a respective decision shall announce the start of the election process for regular local elections the first elections of local council councillors village town city mayor additional elections of councillors of village town councils while a territorial election commission shall announce the start of the election process for special repeat and midterm elections at its meeting which shall be stated in the minutes of commission meeting official announcement means adoption by the respective election commission of a decision on the start of the election process for the respective type of local elections decision of the respective election commission on the announcement of the start of the election process for the respective type of local elections shall be published not later than on the third day following its adoption in the manner at its discretion|8 центральна виборча комісія шляхом прийняття відповідного рішення оголошує про початок виборчого процесу чергових місцевих виборів перших виборів депутатів місцевої ради сільського селищного міського голови додаткових виборів депутатів сільських селищних рад а територіальна виборча комісія  про початок виборчого процесу позачергових повторних проміжних місцевих виборів на своєму засіданні про що зазначається у протоколі засідання комісії офіційним оголошенням є прийняття відповідною виборчою комісією рішення про початок виборчого процесу відповідного виду місцевих виборів рішення відповідної виборчої комісії про оголошення початку виборчого процесу відповідного виду місцевих виборів оприлюднюється не пізніше ніж на третій день після його прийняття у визначений нею спосіб
3886| 6 statements of individuals included into the party organisations electoral lists stating their consent to stand for election as candidates for councillors from this party organisation which should contain consent for publication of biographical information and processing of personal data of a candidate for councillor as well as undertaking to resign another representative mandate if such mandate is absent indicate its absence |6 заяв осіб включених до виборчих списків організації партії про згоду балотуватися кандидатами у депутати від цієї організації партії які повинні також містити згоду на оприлюднення біографічних відомостей та обробку персональних даних а також зобовязання в разі обрання скласти інший представницький мандат у разі відсутності такого мандата  зазначити про його відсутність
3608| the payment or reimbursement procedure for the aforementioned services shall be determined by the cabinet of ministers of ukraine|порядок оплати або відшкодування зазначених послуг встановлюється кабінетом міністрів україни
3883| 3 joint electoral list and all territorial electoral lists of candidates for councillors assigned by the party organisation to the respective multimember constituencies in the forms prescribed by the central election commission in a paper copy which must contain the information provided for in part 10 of article 220 of this code signed by the leader of the party organisation and certified by the seal of the party organisation or the respective superior party organisation and in electronic form|3 єдиного виборчого списку та всіх територіальних виборчих списків кандидатів у депутати віднесених організацією партії до відповідних багатомандатних виборчих округів за формами встановленими центральною виборчою комісією на паперових носіях які обовязково повинні містити відомості передбачені частиною десятою статті 220 цього кодексу підписаних керівником організації партії і скріплених печаткою організації партії або відповідної організації партії вищого рівня та в електронному вигляді
1199| 4 the powers of the election commission member shall be terminated on the grounds provided for in clauses 1 to 12 14 15 of part 3 of this article from the moment the decision on termination of the commission member powers is made by the commission that established it  in the event of circumstances stipulated by clause 13 of part 3 of this article arising the powers of a member of the election commission shall terminate from the moment the person refuses to put hisher signature under the text of the oath at the meeting of the election commission or the absence of such a person at the first two meetings of the election commission after the person is included in this commission of which heshe was informed|4 повноваження члена виборчої комісії припиняються з підстав передбачених пунктами 112 14 15 частини третьої цієї статті з моменту прийняття рішення про припинення повноважень члена комісії виборчою комісією яка її утворила при виникненні обставин передбачених пунктом 13 частини третьої цієї статті повноваження члена виборчої комісії припиняються з моменту відмови особи поставити свій підпис під текстом присяги на засіданні виборчої комісії або неприбуття такої особи на перші два засідання виборчої комісії після включення особи до складу цієї комісії про які їй було повідомлено
147| 3 the results of experiments or pilot projects provided for in part 1 of this article shall be used to submit proposals for improving the legislation on the introduction of innovative technologies technical means and software during the organisation and conduct of elections|3 результати експериментів або пілотних проектів передбачених частиною першою цієї статті використовуються для надання пропозицій щодо вдосконалення законодавства щодо впровадження інноваційних технологій технічних та програмних засобів під час організації та проведення виборів
1014|" article 81
 election precincts for the elections of the president of ukraine"|стаття 81 виборчі дільниці з виборів президента україни
96| 2 the rights listed in part 1 of this article shall be exercised by voters to the extent and in the manner established by election legislation|2 права зазначені у частині першій цієї статті здійснюються виборцями в обсязі та порядку встановлених законодавством про вибори
1458| 14 interruption of the broadcast of television debates with commercials shall be prohibited|14 переривання трансляції теледебатів комерційною рекламою забороняється
3317| 1 a joint singlemember village town city constituency which covers the entire territory of the respective village town city territorial community|1 єдиний одномандатний сільський селищний міський виборчий округ який охоплює всю територію відповідної сільської селищної міської територіальної громади
1889| 3 12 persons for small election precincts six persons from each candidate for the president of ukraine included in the voting ballot for repeat voting|3 для малих дільниць  12 осіб по шість осіб від кожного кандидата на пост президента україни включеного до виборчого бюлетеня для повторного голосування
4316| 1 a city in cities which are not divided into districts or district election commission shall transfer voting ballots for the respective elections of city mayor city councillors district councillors in cities where district councils have been established raion councillors members of the verkhovna rada of the autonomous republic of crimea or oblast councillors in the respective constituency except for the cities of kyiv and sevastopol|1 міська міста без районного поділу районна в місті виборча комісія передає виборчі бюлетені з відповідних виборів міського голови депутатів міської ради депутатів районної в місті ради у містах де утворені районні в місті ради депутатів районної ради депутатів верховної ради автономної республіки крим або обласної ради у відповідному виборчому окрузі крім міст києва та севастополя
7| article 3 types of elections|стаття 3 типи виборів
1069| 2 date of birth|2 дата народження
1386| 7 the central election commission shall make a decision on the registration of a candidate for the president of ukraine or on denying registration to a candidate for the president of ukraine according to the results of an audit on the availability or absence of grounds for making a decision on registration or denying registration to the candidate for the president of ukraine within five days from the day of receiving the documents provided for by this article|7 центральна виборча комісія приймає рішення про реєстрацію кандидата на пост президента україни або про відмову в реєстрації кандидата на пост президента україни за результатами перевірки щодо наявності чи відсутності підстав для прийняття рішення про реєстрацію або про відмову в реєстрації кандидата на пост президента україни протягом пяти днів з дня прийняття документів передбачених цією статтею
3163| 6 party membership|6 партійність
577| article 51 forms and means of preelection campaigning|стаття 51 форми і засоби передвиборної агітації
1720| 1 the number of voting ballots received by the precinct election commission or produced by it with permission of the central election commission|1 кількість виборчих бюлетенів одержаних дільничною виборчою комісією або виготовлених нею з дозволу центральної виборчої комісії
2040| article 140 as amended by law no 720ix of 17 june 2020 as revised by law no 805ix of 16 july 2020|стаття 140 із змінами внесеними згідно із законом  720ix від 17062020 в редакції закону  805ix від 16072020
2590| 15 a party authorised person shall be subject to the restrictions established by part 7 of article 167 of this code|15 на уповноважену особу партії поширюються обмеження встановлені частиною сьомою статті 167 цього кодексу
611| 2 printed preelection campaigning materials should include information about the printing company or information that printing was conducted using the equipment owned by the candidate or party local party organisation that nominated the candidate candidates their print run information about the persons responsible for the publication and the person that commissioned the respective materials|2 друковані матеріали передвиборної агітації повинні містити відомості про підприємство що здійснило друк або інформацію що друк здійснено з використанням обладнання відповідного кандидата або партії організації партії яка висунула кандидата кандидатів їх тираж інформацію про осіб відповідальних за випуск та замовника відповідних матеріалів
3065| 1 the number of voting ballots produced by order of the central election commission|1 кількість виборчих бюлетенів виготовлених на замовлення центральної виборчої комісії
3250| paragraph 3 part 8 article 195 has been deleted under law no 805ix of 16 july 2020|абзац третій частини восьмої статті 195 виключено на підставі закону  805ix від 16072020
335| paragraph 1 part 6 article 35 as amended by law no 805ix of 16 july 2020|абзац перший частини шостої статті 35 із змінами внесеними згідно із законом  924ix від 29092020
3929| 7 photocopies of the first and second pages of the passport of the citizen of ukraine in a form of passport book or photocopies of front and reverse sides of the passport of the citizen of ukraine in a form of card for each candidate for village town city mayor|7 копії першої та другої сторінок паспорта громадянина україни у вигляді паспортної книжечки або копії лицьового та зворотного боків паспорта громадянина україни у вигляді картки кандидата на посаду сільського селищного міського голови
2467| 4 obtaining a duly certified copy of a court decision from the court that renders incapable a person nominated as a candidate|4 отримання від суду належним чином засвідченої копії судового рішення яким особу висунуту кандидатом у депутати визнано недієздатною
1260| 6 the work related to the organisation of the preparation and conduct of the elections of the president of ukraine which is performed by persons recognised as unemployed under the law as members of the constituency and precinct election commissions or as specialists experts and technical workers referred to in part 10 of article 33 of this code shall not be a ground for cancellation of such persons registration in the public employment service as job seekers or for stopping paying them unemployment benefits and other types of social assistance the payment of remuneration to members of election commissions or persons referred to in paragraph 10 of article 33 of this code who are retired persons may not be a reason for limiting the amount of the pensions received by them|6 праця повязана з організацією підготовки і проведення виборів президента україни осіб визнаних в установленому законом порядку безробітними у складі окружних дільничних виборчих комісій чи як спеціалістів експертів та технічних працівників зазначених у частині десятій статті 33 цього кодексу не є підставою для зняття цих осіб з обліку в державній службі зайнятості як таких що шукають роботу або для припинення виплати їм допомоги по безробіттю та інших видів соціальної допомоги оплата праці членів виборчих комісій чи осіб зазначених у частині десятій статті 33 цього кодексу які є пенсіонерами не може бути підставою для обмеження розміру отримуваної ними пенсії
3361| 1 a local organisation of a political party the creation of an mp faction of which was announced at the first regular session of the verkhovna rada of ukraine of the current convocation|1 місцева організація політичної партії про утворення депутатської фракції якої оголошено на першій черговій сесії верховної ради україни поточного скликання
3251| 9 if a territorial election commission fails to follow the provisions of this code omissions of the election commission on calling repeat local elections or local byelections such elections may called by the central election commission within five days after the day of establishing the fact of omissions by the respective territorial election commission in case of omissions of the territorial election commission a decision on the start of the election process may be adopted by the central election commission|9 у разі невиконання територіальною виборчою комісією вимог цього кодексу бездіяльність виборчої комісії щодо призначення повторних чи проміжних місцевих виборів такі вибори можуть бути призначені центральною виборчою комісією у пятиденний строк з дня виявлення бездіяльності відповідної територіальної виборчої комісії у разі бездіяльності територіальної виборчої комісії рішення про початок виборчого процесу може прийняти центральна виборча комісія
